fid,OBJECTID,DISTRICT,LEGAL_DESC,AVGAGE,UTMX,UTMY,Acres,Owner,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Burned,layer,path,Site_ID,treatment,Srvy_13_19,Srvy_23,Srvy_24
170,4201,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10269,,0,0,0
172,2524,North Cascade,,NA,NA,NA,29.54114741,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12567,BU,0,0,0
174,2705,North Cascade,,NA,NA,NA,18.85209967,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12775,BU,0,0,0
176,2030,North Cascade,,NA,NA,NA,6.09565155,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12037,BU,0,0,0
177,2352,North Cascade,,NA,NA,NA,16.57485726,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12390,BU,0,0,0
178,2353,North Cascade,,NA,NA,NA,39.99323695,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12391,BU,0,0,0
179,2354,North Cascade,,NA,NA,NA,80.43134048,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12392,BU,0,1,0
180,2355,North Cascade,,NA,NA,NA,9.08948008,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12393,BU,0,0,0
181,2689,North Cascade,,NA,NA,NA,10.31689241,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12756,BU,0,0,0
183,2386,North Cascade,,NA,NA,NA,51.15072838,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12425,BU,0,0,0
185,2401,North Cascade,,NA,NA,NA,105.0181423,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12440,BU,0,0,0
186,2440,North Cascade,,NA,NA,NA,34.51109612,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12481,BU,0,0,0
187,2458,North Cascade,,NA,NA,NA,39.72726348,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12499,BU,0,0,0
188,2460,North Cascade,,NA,NA,NA,44.4109313,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12501,BU,0,0,0
191,2321,North Cascade,,NA,NA,NA,36.93025629,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12351,BU,0,1,0
195,2410,North Cascade,,NA,NA,NA,47.07459298,,NA,NA,NA,NA,NA,NA,NA,NA,,,,12451,BU,0,0,0
